relative_path,size_human,imports,defined_functions,defined_classes,referenced_paths,status,error,repo_action_hint
C\webapp\neurosync_webapp\neurosync\backend\app\routers\sessions.py,7.69 KB,"
from fastapi import APIRouter, Depends, HTTPException | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select, func, desc | from pydantic import BaseModel | from typing import Optional | from datetime import datetime, timezone | import uuid | import logging | 
from app.database import get_db | from app.models.session import EEGSession, EmotionRecord, DailyEmotionSummary | from app.models.user import User | from app.routers.auth import get_current_user | from app.routers.device import get_device_state",,"SessionResponse, Config, StartSessionRequest",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\auth.py,7.07 KB,"from fastapi import APIRouter, Depends, HTTPException, status | from fastapi.security import OAuth2PasswordBearer, OAuth2PasswordRequestForm | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select | from pydantic import BaseModel, EmailStr, field_validator | from typing import Optional | from datetime import datetime | import logging | 
from app.database import get_db | from app.models.user import User | from app.services.auth_service import (","username_valid, password_valid, new_password_valid","RegisterRequest, TokenResponse, UserResponse, Config, UpdateProfileRequest, ChangePasswordRequest",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\model_management.py,5.74 KB,"
import logging | from typing import Optional | from fastapi import APIRouter, HTTPException, Depends | from pydantic import BaseModel | 
from app.services.model_loader import ( | from app.routers.auth import get_current_user |     from app.services import model_loader as ml",,LoadModelRequest,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\main.py,5.67 KB,"
import logging | import sys | from contextlib import asynccontextmanager | 
from fastapi import FastAPI, Request | from fastapi.middleware.cors import CORSMiddleware | from fastapi.responses import JSONResponse | 
from app.database import init_db | from app.routers import auth, device, sessions, inference, calibration, tracking | from app.routers import model_management, dataset |         from app.services.model_loader import get_model, DEFAULT_MODEL_FILE |         from app.services.dataset_loader import get_dataset_status |     from app.services.model_loader import get_verification_status",,,/api/openapi.json,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\dataset.py,4.77 KB,"
import logging | from typing import Optional | from fastapi import APIRouter, Depends, HTTPException | from pydantic import BaseModel | 
from app.services.dataset_loader import ( | from app.services.model_loader import get_model, get_verification_status | from app.routers.auth import get_current_user",,ValidateRequest,manifest.json | .npy/.npz/.csv,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\models\session.py,4.53 KB,"from sqlalchemy import String, DateTime, Float, Integer, ForeignKey, Text, Boolean, JSON | from sqlalchemy.orm import Mapped, mapped_column, relationship | from datetime import datetime, timezone | from app.database import Base",,"EEGSession, EmotionRecord, CalibrationRecord, DailyEmotionSummary",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\auth_service.py,2.32 KB,"from datetime import datetime, timedelta, timezone | from typing import Optional | from jose import JWTError, jwt | from passlib.context import CryptContext | from sqlalchemy.ext.asyncio import AsyncSession | from sqlalchemy import select | from app.config import get_settings | from app.models.user import User | import logging","verify_password, get_password_hash, create_access_token, decode_access_token",,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\models\user.py,1.34 KB,"from sqlalchemy import String, DateTime, Boolean | from sqlalchemy.orm import Mapped, mapped_column, relationship | from datetime import datetime, timezone | from app.database import Base",,User,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\database.py,956.00 B,"from sqlalchemy.ext.asyncio import AsyncSession, create_async_engine, async_sessionmaker | from sqlalchemy.orm import DeclarativeBase | from app.config import get_settings |     from app.models import user, session  # noqa: F401 - triggers model registration",,Base,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\config.py,483.00 B,from pydantic_settings import BaseSettings | from functools import lru_cache,get_settings,"Settings, Config",,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\routers\__init__.py,255.00 B,"from app.routers import auth, device, sessions, inference, calibration, tracking | from app.routers import model_management, dataset",,,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\models\__init__.py,225.00 B,"from app.models.user import User | from app.models.session import EEGSession, EmotionRecord, CalibrationRecord, DailyEmotionSummary",,,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
C\webapp\neurosync_webapp\neurosync\backend\app\services\__init__.py,98.00 B,"from app.services import auth_service, eeg_simulator",,,,ok,,OPTIONAL_WEBAPP_REPO_NOT_MAIN_METHOD_REPO
